name,chord,depth,theta,arclength,arclength2
K_1_1_1,20.25,4.21,316.56,21.53053516,0.876863467
K_1_4_3,19.52,2.48,324.63,20.37573133,0.85940437
K_1_6_1,14.88,2.92,311.68,15.73410356,0.87700776
K_1_6_2,7.23,3.54,265.34,5.602716808,0.98514802
K_1_6_3,15.48,3.55,311.84,17.35072996,0.883410094
K_1_7_1,11.44,3.75,290.05,11.17213348,0.907647376
K_1_8_1,6.98,2.67,267.57,6.90618746,0.951536823
K_1_8_2,8.2,2.71,273.98,8.890210068,0.927695557
K_1_8_3,6.41,1.56,288.61,7.197453249,0.889151646
K_1_9_1,20.1,3.45,320.05,21.51275661,0.867463249
K_2_1_1,17.62,4.2,317.78,18.9966653,0.889498076
K_2_3_1,14.48,2.44,328.12,14.29120358,0.866752642
K_2_3_2,4.1,0.63,317.64,4.341377426,0.870610895
K_2_3_3,3.32,0.43,330.91,3.532431756,0.864565955
K_2_3_7,14.77,2.58,321.57,16.09907123,0.869679411
K_2_5_1,7.29,2.26,276.34,6.446699531,0.922072099
K_2_7_1,11.69,4,301.56,11.02814234,0.932497318
K_2_8_1,15.9,3.23,321.51,16.96708283,0.877022448
K_2_8_2,20.95,2.36,338.45,21.67310218,0.856417974
K_2_9_1,12.34,3.49,310.34,13.89697754,0.908954336
K_2_9_2,5.25,1.24,308.31,5.383391657,0.887894349
K_2_9_3,3.89,0.89,320.09,4.118922103,0.881912304
K_2_10_1,5.57,1.43,309.18,4.881318671,0.896960403
K_2_10_2,11.28,3.78,292.35,11.20650502,0.929487101
K_2_10_3,14.07,2.96,312.9,14.69728801,0.880494961
K_2_11_1,13.87,3.27,310.16,15.60955665,0.886559772
K_2_11_2,13.35,2.42,317.47,14.20037263,0.868431649
K_2_12_1,13.23,2.98,309.19,14.78188824,0.883964162
K_2_12_2,12.11,3.25,302.13,13.85816358,0.900872434
K_2_12_3,13.06,3.27,313.93,14.72617378,0.892996502
V_1_2_1,17.01,4.33,317.21,17.64317521,0.897073381
V_1_2_2,10.78,4.32,270.7,11.31707843,0.925998805
V_1_2_3,11.3,3.41,272.71,13.09304066,0.900041442
V_1_3_1,20.38,2.67,334.69,16.76107844,0.858484084
V_1_3_2,19.54,3.58,324.59,14.24057754,0.86878251
V_1_3_4,18.68,5.12,306.77,16.69873912,0.901245559
V_2_1_10,16.64,2.52,326.97,16.41826793,0.864584902
V_2_1_11,16.2,2.09,322.25,16.95977968,0.861965086
V_2_1_12,14.47,2.94,322.54,16.06879162,0.878937126
V_2_3_1,12.35,3.8,298.68,12.75328002,0.926365254
V_2_3_2,18.59,5.51,308.57,19.57659311,0.907698373
V_2_3_3,7.22,1.79,300.07,8.062182509,0.899088024
V_2_3_4,8.37,1.62,313.43,8.996701002,0.869329287
V_2_3_5,8.3,1.85,306.04,9.131285723,0.880663865
V_2_3_6,10.02,2.12,306.03,11.03136485,0.876657293
V_2_3_7,17.05,2.3,324.76,18.07394589,0.859393155
V_2_4_1,20.61,4.18,319.88,21.6853307,0.877265306
V_2_4_2,16.17,3.19,306.77,17.60578177,0.870761216
V_2_4_3,19.65,4.36,314.35,15.15540764,0.877829286
V_2_4_4,15.95,2.93,321.74,17.37853051,0.871926086
V_2_4_5,17.48,4.25,306.58,18.09446306,0.884173148
V_2_5_1,12.21,5.15,282.26,12.23126876,0.97430885
V_2_5_2,19.26,3.09,310.95,18.45384206,0.862481795
V_2_5_3,17.18,3.35,313.78,18.75905965,0.874201806
V_2_5_4,18.11,4.42,307.39,19.63140691,0.885892276
V_4_1_1,13.9,3.83,277.26,16.53695255,0.890688543
V_4_1_2,20.38,2.69,331.05,19.64039042,0.859786619
