species_individual_panicle_flower,sepal_size_mm,stage
G_1_1_2,22.2,N
G_1_1_13,10.9,F
G_1_1_14,24.8,A
G_1_1_17,23,ND
G_1_2_1,26.5,A
G_1_2_4,24.6,P
G_1_2_6,24.6,D
G_1_2_7,25,D
G_1_2_8,24.8,A
G_1_2_9,22.1,D
G_1_2_10,24.7,A
G_1_2_11,25,P
G_1_3_4,24.8,A
G_1_3_5,23,D
G_1_4_2,20.9,F
G_1_4_3,23.5,P
G_1_4_4,23,ND
G_1_4_5,23.8,ND
G_1_4_6,5.8,G
K_1_1_1,27,A
K_1_4_3,27.2,D
K_1_6_1,21.5,ND
K_1_6_2,8.5,G
K_1_6_3,24.5,ND
K_1_7_1,23.1,O
K_1_8_1,8.1,G
K_1_8_2,7.5,G
K_1_8_3,6.2,G
K_1_9_1,29.6,D
K_2_1_1,29.2,A
K_2_3_1,22.6,N
K_2_3_2,3.7,E
K_2_3_3,2.9,E
K_2_3_7,24,ND
K_2_5_1,6.6,G
K_2_7_1,11.2,O
K_2_8_1,27.2,ND
K_2_8_2,31.6,D
K_2_9_1,12.6,O
K_2_9_2,3.5,E
K_2_9_3,3.7,E
K_2_10_1,7.4,G
K_2_10_2,14.3,O
K_2_10_3,21.2,O
K_2_11_1,23.1,ND
K_2_11_2,20.3,ND
K_2_12_1,19.3,O
K_2_12_2,16.4,O
K_2_12_3,16.5,O
K_1_2_1,31.6,A
V_1_2_1,26.6,N
V_1_2_2,0.9,G
V_1_2_3,1.5,G
V_1_3_1,36.4,P
V_1_3_2,35.2,P
V_1_3_4,35.5,D
V_2_1_10,20,N
V_2_1_11,21.9,F
V_2_1_12,8.8,O
V_2_3_1,9,O
V_2_3_2,31.5,P
V_2_3_3,1.4,E
V_2_3_4,3.5,E
V_2_3_5,2.3,E
V_2_3_6,3,E
V_2_3_7,22.1,N
V_2_4_1,26.7,N
V_2_4_2,34,D
V_2_4_3,36.5,P
V_2_4_4,31.9,D
V_2_4_5,27.4,P
V_2_5_1,7.5,N
V_2_5_2,31.5,ND
V_2_5_3,20,N
V_2_5_4,26.9,ND
V_4_1_1,3.1,G
V_4_1_2,29.6,F
