species_individual_panicle_flower,sepal_size_mm,stage,size_class,species,indiv
G_1_1_2,22.2,N,,gradiflorum,G1
G_1_1_13,10.9,F,,gradiflorum,G1
G_1_1_14,24.8,A,,gradiflorum,G1
G_1_1_17,23,ND,,gradiflorum,G1
G_1_2_1,26.5,A,,gradiflorum,G1
G_1_2_4,24.6,P,,gradiflorum,G1
G_1_2_6,24.6,D,,gradiflorum,G1
G_1_2_7,25,D,,gradiflorum,G1
G_1_2_8,24.8,A,,gradiflorum,G1
G_1_2_9,22.1,D,,gradiflorum,G1
G_1_2_10,24.7,A,,gradiflorum,G1
G_1_2_11,25,P,,gradiflorum,G1
G_1_3_4,24.8,A,,gradiflorum,G1
G_1_3_5,23,D,,gradiflorum,G1
G_1_4_2,20.9,F,,gradiflorum,G1
G_1_4_3,23.5,P,,gradiflorum,G1
G_1_4_4,23,ND,,gradiflorum,G1
G_1_4_5,23.8,ND,,gradiflorum,G1
G_1_4_6,5.8,G,,gradiflorum,G1
K_1_1_1,27,A,5,koreanum,K1
K_1_4_3,27.2,D,5,koreanum,K1
K_1_6_1,21.5,ND,4,koreanum,K1
K_1_6_2,8.5,G,2,koreanum,K1
K_1_6_3,24.5,ND,4,koreanum,K1
K_1_7_1,23.1,O,4,koreanum,K1
K_1_8_1,8.1,G,2,koreanum,K1
K_1_8_2,7.5,G,2,koreanum,K1
K_1_8_3,6.2,G,2,koreanum,K1
K_1_9_1,29.6,D,5,koreanum,K1
K_2_1_1,29.2,A,5,koreanum,K2
K_2_3_1,22.6,N,4,koreanum,K2
K_2_3_2,3.7,E,1,koreanum,K2
K_2_3_3,2.9,E,1,koreanum,K2
K_2_3_7,24,ND,4,koreanum,K2
K_2_5_1,6.6,G,2,koreanum,K2
K_2_7_1,11.2,O,3,koreanum,K2
K_2_8_1,27.2,ND,5,koreanum,K2
K_2_8_2,31.6,D,5,koreanum,K2
K_2_9_1,12.6,O,3,koreanum,K2
K_2_9_2,3.5,E,1,koreanum,K2
K_2_9_3,3.7,E,1,koreanum,K2
K_2_10_1,7.4,G,2,koreanum,K2
K_2_10_2,14.3,O,3,koreanum,K2
K_2_10_3,21.2,O,4,koreanum,K2
K_2_11_1,23.1,ND,4,koreanum,K2
K_2_11_2,20.3,ND,4,koreanum,K2
K_2_12_1,19.3,O,3,koreanum,K2
K_2_12_2,16.4,O,3,koreanum,K2
K_2_12_3,16.5,O,3,koreanum,K2
V_1_2_1,26.6,N,4,violaceum,V1
V_1_2_2,0.9,G,1,violaceum,V1
V_1_2_3,1.5,G,1,violaceum,V1
V_1_3_1,36.4,P,5,violaceum,V1
V_1_3_2,35.2,P,5,violaceum,V1
V_1_3_4,35.5,D,5,violaceum,V1
V_2_1_10,20,N,4,violaceum,V2
V_2_1_11,21.9,F,4,violaceum,V2
V_2_1_12,8.8,O,2,violaceum,V2
V_2_3_1,9,O,2,violaceum,V2
V_2_3_2,31.5,P,5,violaceum,V2
V_2_3_3,1.4,E,1,violaceum,V2
V_2_3_4,3.5,E,1,violaceum,V2
V_2_3_5,2.3,E,1,violaceum,V2
V_2_3_6,3,E,1,violaceum,V2
V_2_3_7,22.1,N,4,violaceum,V2
V_2_4_1,26.7,N,5,violaceum,V2
V_2_4_2,34,D,5,violaceum,V2
V_2_4_3,36.5,P,5,violaceum,V2
V_2_4_4,31.9,D,5,violaceum,V2
V_2_4_5,27.4,P,5,violaceum,V2
V_2_5_1,7.5,N,2,violaceum,V2
V_2_5_2,31.5,ND,5,violaceum,V2
V_2_5_3,20,N,4,violaceum,V2
V_2_5_4,26.9,ND,5,violaceum,V2
V_4_1_1,3.1,G,1,violaceum,V4
V_4_1_2,29.6,F,5,violaceum,V4
